Size,Run,Type,Avg_Latency_us,P50_Tail_Lat_us,P90_Tail_Lat_us,P99_Tail_Lat_us
128,4,Post,1888.29,1735.90,2214.36,4598.15
256,4,Post,1870.65,1714.70,2351.93,4637.79
512,4,Post,2059.17,1803.25,2191.70,8451.58
1024,4,Post,2042.45,1958.08,2417.23,6012.05
2048,4,Post,2290.38,1932.68,2157.70,5926.29
4096,4,Post,2595.65,2128.12,3053.86,8575.93
8192,4,Post,2606.33,2308.57,3542.44,6176.87
4,0,MVAPICH,181.85,170.62,224.57,279.22
8,0,MVAPICH,175.62,164.88,217.57,263.37
16,0,MVAPICH,179.54,169.07,199.20,248.43
32,0,MVAPICH,174.57,165.36,196.64,268.61
64,0,MVAPICH,183.16,172.22,223.02,265.78
128,0,MVAPICH,169.59,164.10,191.55,236.83
256,0,MVAPICH,327.77,312.03,384.65,441.54
512,0,MVAPICH,356.18,340.44,426.87,519.59
1024,0,MVAPICH,555.65,558.63,641.09,756.93
2048,0,MVAPICH,444.11,437.40,490.25,565.56
4096,0,MVAPICH,2677.31,2524.12,3077.45,4231.38
8192,0,MVAPICH,3242.66,3274.48,3757.64,4122.31
4,1,MVAPICH,194.43,176.00,230.18,533.21
8,1,MVAPICH,189.90,178.17,206.57,407.82
16,1,MVAPICH,180.60,172.98,198.24,333.36
32,1,MVAPICH,1424.29,179.70,211.83,306.48
64,1,MVAPICH,186.72,176.49,220.48,326.71
128,1,MVAPICH,191.43,182.41,218.73,309.68
256,1,MVAPICH,351.28,341.83,418.40,508.73
512,1,MVAPICH,364.39,338.29,425.71,680.79
1024,1,MVAPICH,1231.48,577.33,657.46,745.24
2048,1,MVAPICH,484.67,470.83,563.05,640.79
4096,1,MVAPICH,3220.04,2982.83,3831.47,5287.51
8192,1,MVAPICH,3647.11,3491.26,4382.84,5521.30
4,2,MVAPICH,187.18,178.53,208.50,299.61
8,2,MVAPICH,192.42,183.78,226.20,284.01
16,2,MVAPICH,181.71,173.62,211.70,276.96
32,2,MVAPICH,167.23,161.07,184.99,248.70
64,2,MVAPICH,232.63,171.02,208.87,1219.05
128,2,MVAPICH,321.60,172.87,219.91,6147.73
256,2,MVAPICH,361.29,356.87,422.38,489.46
512,2,MVAPICH,389.76,372.14,455.86,552.73
1024,2,MVAPICH,580.14,565.33,673.70,783.71
2048,2,MVAPICH,469.34,460.15,521.63,679.77
4096,2,MVAPICH,3152.16,2841.75,3611.22,5698.17
4,3,MVAPICH,171.87,160.74,205.21,292.79
8,3,MVAPICH,176.54,161.68,201.91,496.04
16,3,MVAPICH,165.54,157.83,197.71,253.44
32,3,MVAPICH,153.46,148.52,171.24,220.82
64,3,MVAPICH,166.41,160.67,194.17,258.04
128,3,MVAPICH,187.89,181.80,217.18,268.31
256,3,MVAPICH,339.86,328.64,385.88,483.90
512,3,MVAPICH,361.37,348.30,417.67,500.14
1024,3,MVAPICH,538.97,537.59,608.91,660.99
2048,3,MVAPICH,390.88,385.03,418.10,512.12
4096,3,MVAPICH,3673.42,3599.59,4236.02,4736.32
8192,3,MVAPICH,4075.34,3970.36,4738.69,5670.93
