
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
1024                    0.98              0.97              1.02              1.11
2048                    1.23              1.23              1.26              1.32
4096                    2.32              2.30              2.35              2.42
8192                    3.08              3.11              3.25              3.35
16384                   6.04              6.07              6.31              6.41
32768                   9.11              9.11              9.32              9.54
65536                  14.05             14.04             14.28             14.57
131072                 24.64             24.59             24.81             26.11
262144                 42.46             42.36             43.01             44.56
524288                 80.73             80.34             82.56             84.82
1048576               164.05            163.61            166.51            168.22

4                       0.35              0.29              0.46              0.49
8                       0.36              0.39              0.46              0.50
16                      0.45              0.44              0.50              0.60
32                      0.45              0.44              0.51              0.61
64                      0.50              0.49              0.57              0.66
128                     0.46              0.46              0.49              0.56
256                     0.54              0.53              0.58              0.66
512                     0.80              0.78              0.88              0.92
1024                    0.97              0.96              1.00              1.05
2048                    1.23              1.23              1.26              1.31
4096                    2.28              2.27              2.33              2.42
8192                    3.10              3.13              3.25              3.35
16384                   6.17              6.14              6.45              6.51
32768                   9.24              9.20              9.45              9.69
65536                  14.14             14.11             14.35             14.94
131072                 24.64             24.58             24.76             26.91
262144                 43.84             42.75             46.14             49.07
524288                 80.66             80.38             82.26             84.40
1048576               164.76            164.25            167.43            169.21
