Command for all runs (openmpi built osu loaded):
mpirun --host scc135-cpu14:32,scc135-cpu15:32,scc135-cpu16:32,scc135-cpu17:32 --report-bindings $(which osu_allreduce) -T mpi_float -z

Pre-Optimization:

Run 0
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
128                  1849.93           1778.79           2008.90           3194.77
256                  1956.22           1936.58           2084.82           2729.52
512                  2042.01           1976.98           2166.79           3035.71
1024                 1852.71           1754.54           2232.52           3174.01
2048                 2359.84           1926.55           2857.91          10054.48
4096                 2230.18           1966.46           2692.26           7051.23
8192                 2241.97           2069.87           2655.09           4207.81
16384                4834.78           3271.66           3570.01           4108.02
32768                3315.14           3270.42           3632.04           3885.63
65536                3532.21           3494.92           3698.19           4396.27
131072              31974.85          30406.68          34454.42          36281.21
262144               7750.50           6875.97           7382.33           8364.26
524288              10159.38           9537.74          12617.48          19107.42
1048576              9224.37           8848.14          10093.42          12402.87

Run 2
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                    1809.67           1665.19           2337.72           5689.47
8                    2043.41           1679.27           3314.80           8326.29
16                   1754.99           1683.14           2166.84           3711.49
32                   1687.46           1623.94           1970.81           2431.52
64                   2148.71           1709.90           2066.19           3593.47
128                  3902.66           1641.44           1997.42           2993.54
256                  1993.95           1907.95           2221.15           3130.15
512                  1971.22           1935.12           2163.44           2859.33
1024                 2110.79           1939.51           2336.05           6552.06
2048                 2054.69           1760.38           2702.78           5568.12
4096                 1975.38           1812.23           2403.08           5079.41
8192                 2445.81           2128.07           2533.94           3331.02
16384                3744.70           3711.76           4004.00           4263.74
32768                3401.70           3357.27           3642.51           4579.07
65536                3693.76           3450.63           3779.28           5273.48
131072              28331.47          28054.59          37056.21          43947.15
262144               7556.00           7518.12           7985.87           9292.52
524288               7420.42           6989.67          10321.97          11389.04
1048576              9713.46           9564.15          10178.63          11771.41

Run 3
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                    2368.67           1910.30           3011.83           8319.13
8                    1919.93           1753.60           2369.05           5594.40
16                   1727.82           1689.21           1891.21           2788.64
32                   1861.05           1861.29           2037.29           2361.45
64                   1799.51           1753.80           2069.10           2390.08
128                  2004.33           1974.45           2216.57           3344.82
256                  2132.63           1824.14           2754.00           6608.54
512                  1985.86           1707.65           2318.93           5449.31
1024                 2149.96           1819.74           2150.72           5414.36
2048                 2830.25           1921.82           2810.74           5652.77
4096                 2099.30           2013.76           2301.95           3584.36
8192                 2461.36           2218.26           3017.59           6832.08
16384                4128.44           4068.92           4378.96           4759.10
32768                3791.54           3166.78           3739.52           5890.10
65536                3639.46           3357.30           4388.00           7431.90
131072              22173.81          20673.81          26553.18          31873.27
262144               7056.07           6936.07           8167.39          13142.97
524288               7374.05           7203.06           8844.24          11132.24
1048576             10793.41           9133.93           9775.73          12770.60

Run 4
# Size       Avg Latency(us)  P50 Tail Lat(us)  P90 Tail Lat(us)  P99 Tail Lat(us)
4                    1905.96           1708.18           2558.77           4783.09
8                    2214.84           1685.26           2035.89           4239.69
16                   2664.99           1876.76           2460.62           4418.26
32                   2137.51           1860.43           2025.71           4015.99
64                   1993.83           1870.01           2288.41           5167.06
128                  1888.29           1735.90           2214.36           4598.15
256                  1870.65           1714.70           2351.93           4637.79
512                  2059.17           1803.25           2191.70           8451.58
1024                 2042.45           1958.08           2417.23           6012.05
2048                 2290.38           1932.68           2157.70           5926.29
4096                 2595.65           2128.12           3053.86           8575.93
8192                 2606.33           2308.57           3542.44           6176.87
16384                3149.52           3109.81           3265.60           3856.07
32768                3790.56           3543.57           4101.88           7748.14
65536                3868.81           3392.37           3738.56          14241.61
131072              24997.89          25711.92          32090.10          43201.66
262144               7639.70           7377.66           8194.60          12976.41
524288              10074.23           9998.56          10627.58          12069.90
1048576             10610.28          10066.64          12229.25          16931.13
